Date,Close,High,Low,Open,Volume
2018-01-01,400.01531982421875,405.7093940695705,399.0259980520491,405.7093940695705,9453202
2018-01-02,400.630859375,404.3243349654804,398.5422945557765,401.44430689808223,9499419
2018-01-03,402.23577880859375,407.1604032514544,401.4662998187556,406.7206883923315,13507800
2018-01-04,404.65411376953125,405.3136713921885,402.63150170165216,403.7087605627071,9008932
2018-01-05,405.9512023925781,407.5561131706841,404.63211654099234,405.3136584175376,7441284
2018-01-08,408.2815856933594,409.3588444199197,406.0611154213574,407.20432696679904,8827020
2018-01-09,413.7338562011719,415.03095773275516,406.2809817737514,408.1057058870631,14294571
2018-01-10,414.3494567871094,416.5699272501448,411.3375230779073,414.6352523601828,11727682
2018-01-11,412.32684326171875,414.48136089217263,411.11764944637065,414.1075988695826,7849171
2018-01-12,417.2734375,418.9443011456159,412.54670084844645,414.63526572971494,15071161
2018-01-15,417.33935546875,421.4505320612223,415.6025684930186,417.7131174735659,11120925
2018-01-16,405.81927490234375,416.7018133088848,404.52217339556626,416.7018133088848,10825151
2018-01-17,406.5008544921875,408.47949802257943,398.8061231292183,407.16041211948584,13204016
2018-01-18,404.3902893066406,408.7432931606718,402.3676773045552,408.4794818607916,9381821
2018-01-19,409.49078369140625,410.8538380784073,405.4455597284336,405.8412766742237,9973533
2018-01-22,427.1666564941406,428.3978052812969,413.31618127350276,416.8337534298782,45700733
2018-01-23,432.3330993652344,435.7187657999639,428.7056059033461,428.7056059033461,22526810
2018-01-24,424.9022216796875,431.67355475299144,423.27532656318414,431.67355475299144,14289485
2018-01-25,424.7043762207031,427.3865166606427,420.4172955393989,425.58374728199215,13669901
2018-01-29,424.0887756347656,429.7168970320304,421.80235223436125,424.83627036811043,9897064
2018-01-30,417.8890075683594,424.6603695937107,417.2734185291451,424.6603695937107,9182956
2018-01-31,422.68170166015625,424.0887245019504,413.99764954874763,417.71310914005534,12551686
2018-02-01,415.00897216796875,427.6502820339128,411.82116435876986,423.5391347095605,16524809
2018-02-02,397.6408996582031,415.0529439106164,396.16792392595465,411.1176413978391,28965593
2018-02-05,396.673583984375,401.2244757796737,387.72574902559705,393.0900590160554,19191099
2018-02-06,392.2546081542969,394.8488405971772,382.9769801611679,385.61518115300373,24062503
2018-02-07,393.26593017578125,398.10261751571784,391.33125523980664,396.84948446786,15532284
2018-02-08,397.7289123535156,400.41108238725053,392.3646016375524,394.8049446075877,13825894
2018-02-09,394.78289794921875,396.60762212940665,389.5724486546818,390.89156386035035,11580639
2018-02-12,402.5435485839844,403.73072877633416,396.6296025455643,397.0473331188459,11877059
2018-02-14,410.5241394042969,414.41547406427867,404.9619408927109,405.84134137505487,22247829
2018-02-15,411.4034729003906,415.84441379405536,408.1057142906776,412.2828732395473,13363743
2018-02-16,405.0937805175781,414.4593450190421,403.6867283365745,413.14022993041374,9628162
